BRB_ADJ;Brabantian;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HLD;Holland;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HLD_ADJ;Hollander;;;;;;;;;;;;;;;;;;;;;;;x;;;;
AAC;Aachen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
AAC_ADJ;Aachen;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ART;Artois;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ART_ADJ;Artois;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HNT;Hainaut;;;;;;;;;;;;;;;;;;;;;;;x;;;;
HNT_ADJ;Hainaut;;;;;;;;;;;;;;;;;;;;;;;x;;;;
QAJ;Qajars;;;;;;;;;;;;;;;;;;;;;;;x;;;;
QAJ_absolute_monarchy;Qajar Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
QAJ_hms_government;Qajar Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
QAJ_prussian_constitutionalism;Qajar Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
QAJ_ADJ;Qajar;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_absolute_monarchy;Afrasiyab Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_hms_governmemt;Afrasiyab Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_prussian_constitutionalism;Afrasiyab Dynasty;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB;Afrasiyabs;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_republic;Mazanderani Republic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_presidential_dictatorship;Mazanderani Republic;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_proletarian_dictatorship;The Union of Iranian Communist Nations;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ASB_fascist_dictatorship;Greater Mazanderani State;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ABS_ADJ;Afrasiyab;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZND;Zands;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZND_absolute_monarchy;Zand Empire;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZND_prussian_constitutionalism;Zand Empire;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZND_hms_government;Zand Empire;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ZND_ADJ;Zand;;;;;;;;;;;;;;;;;;;;;;;x;;;;
